Husband_takes_drug,Media_usage,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,women_age,region,residence,v106,religion,ethnicity,no_of_H_members,age_H_head,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,number_of_other_wives,marital_duration,husband_education,husbands_occupation,,IPV 
1,0,0,0,0,1,5,11,2,0,2,2,0,47,0,8,0,5,0,13,0,5,,0
1,0,0,0,0,0,4,11,2,0,2,2,1,80,0,4,0,4,0,14,0,22.63274596,,0
1,0,0,0,0,0,3,11,2,0,2,2,0,70,0,1,0,1,0,18,0,22.63274596,,0
1,1,0,1,0,1,3,10,1,0,0,6,0,34,2,3,0,2,0,13,1,5,,1
1,1,0,0,0,0,6,10,1,0,2,6,0,60,2,5,0,5,0,15,1,35,,0
1,1,1,0,1,0,6,10,1,2,0,2,0,42,2,2,0,2,0,13,0,22.63274596,,1
1,1,0,0,1,1,5,10,1,0,2,15,0,38,2,4,0,3,2,18,4,16,,4
1,1,0,1,1,1,5,10,1,1,0,6,0,79,2,1,0,1,0,24,2,34,,2
1,1,0,0,0,0,5,10,1,0,2,15,0,38,2,0,0,0,0,11,0,22.63274596,,0
1,1,0,0,1,0,4,10,1,1,0,1,0,30,2,0,0,0,0,22,1,30,,0
1,1,0,1,0,0,3,10,1,3,1,2,0,28,2,1,0,1,0,23,3,30,,0
1,1,1,1,0,1,2,10,1,2,0,1,1,63,2,1,0,1,0,20,1,16,,1
1,1,0,0,1,1,2,7,2,1,1,18,0,32,1,3,0,3,0,14,1,33,,0
1,1,0,0,0,1,4,7,2,0,1,18,0,45,0,1,0,1,0,22,1,33,,0
1,1,0,0,1,1,2,7,2,1,1,18,0,25,2,1,0,1,0,18,1,4,,0
1,1,0,0,0,1,3,7,2,0,1,18,0,38,2,4,0,4,1,13,1,33,,0
1,0,0,0,1,1,2,7,2,0,1,18,0,29,1,0,0,0,1,19,1,6,,1
1,0,0,1,0,0,3,7,2,0,1,18,0,29,0,1,0,0,0,22,1,33,,0
1,1,0,0,1,0,7,7,2,0,1,18,0,45,0,4,0,4,0,16,0,22.63274596,,0
1,1,0,0,1,0,5,7,2,0,1,18,1,38,2,9,0,8,1,20,1,33,,0
1,1,0,0,0,0,2,5,2,1,2,5,0,28,0,0,1,0,0,19,0,33,,0
1,1,0,0,0,0,5,5,2,0,2,5,0,55,0,2,0,2,0,16,0,33,,0
1,0,0,0,0,0,4,5,2,0,2,5,1,42,0,7,1,6,0,17,0,1,,0
1,0,0,0,0,0,3,5,2,0,2,5,1,30,0,6,0,6,0,16,0,33,,0
1,0,0,0,0,1,3,5,2,0,2,5,0,27,0,1,1,1,0,23,0,33,,0
1,0,0,0,0,0,4,5,2,0,2,5,0,48,0,3,0,1,1,18,1,1,,0
1,0,0,0,0,1,1,7,2,1,1,7,1,40,1,1,0,1,1,15,1,33,,1
1,0,1,1,1,1,4,7,2,1,1,7,0,32,1,5,0,5,0,16,3,33,,1
1,0,1,0,1,1,4,7,2,1,1,7,0,35,0,6,0,4,0,17,1,33,,1
1,1,0,0,0,1,2,7,2,1,1,7,0,23,0,1,0,1,0,18,1,30,,0
1,0,1,0,0,1,3,7,2,0,1,7,0,32,0,3,0,3,0,16,1,1,,2
1,0,0,0,0,0,6,7,2,0,1,7,0,44,0,6,0,6,0,14,1,7,,0
1,0,0,0,0,1,2,7,2,1,1,7,0,55,0,0,1,0,0,20,1,1,,1
1,0,0,0,0,0,3,7,2,0,1,7,0,32,2,3,0,3,0,16,1,1,,1
1,0,0,0,0,1,4,7,2,0,1,7,0,42,0,4,0,4,0,18,1,33,,0
1,0,0,0,0,1,6,7,2,0,1,7,1,41,0,6,0,6,0,22,0,33,,0
1,0,1,1,0,1,2,7,2,1,1,7,0,27,1,0,1,0,0,17,0,33,,4
1,0,0,1,1,1,3,6,2,0,0,12,1,30,0,6,0,6,0,16,0,18,,1
1,0,0,1,1,0,5,6,2,0,0,73,1,42,1,7,0,5,0,15,1,33,,2
1,0,0,1,0,1,4,6,2,1,0,73,1,39,2,3,0,3,0,21,1,33,,3
1,0,0,0,0,1,7,6,2,0,0,2,0,49,2,8,0,7,0,17,1,33,,4
1,1,0,1,0,1,5,6,2,0,0,2,1,38,2,6,0,5,0,16,1,33,,1
1,0,0,0,1,0,2,6,2,2,0,73,0,25,0,1,0,1,0,19,1,33,,0
1,0,0,1,0,1,2,6,2,1,0,2,0,25,0,2,0,2,0,19,1,33,,4
1,1,0,1,0,1,5,6,2,1,0,73,0,42,2,4,0,4,0,18,2,33,,0
1,0,0,0,1,0,6,6,2,0,0,12,1,40,0,7,0,7,0,19,0,22.63274596,,2
1,1,1,1,0,1,6,6,2,1,0,12,1,39,0,9,0,8,0,19,0,22.63274596,,0
1,0,0,1,0,1,6,6,2,0,0,12,1,45,0,9,0,9,1,14,1,26,,0
1,0,0,0,0,0,5,6,2,0,0,12,1,40,0,6,0,6,1,19,1,33,,0
1,0,0,1,0,0,4,6,2,0,0,12,1,35,0,5,1,5,0,20,1,33,,0
1,0,0,0,0,0,4,6,2,0,3,12,1,35,0,8,0,8,0,14,2,33,,0
1,0,0,1,1,1,5,6,2,0,0,73,0,35,0,6,0,5,0,19,0,22.63274596,,4
1,0,1,1,0,1,5,6,2,1,0,73,0,44,0,7,0,6,0,15,1,1,,4
1,0,0,0,0,1,2,6,2,0,0,12,0,27,0,2,0,1,0,17,3,9,,1
1,1,1,0,1,0,3,6,2,1,3,12,0,28,0,3,1,3,0,15,2,4,,1
1,0,1,0,1,1,3,2,2,0,2,4,0,85,0,2,0,2,1,22,0,1,,0
1,1,1,0,1,1,5,2,2,0,2,4,0,35,0,8,0,5,0,15,0,30,,2
1,0,0,0,1,1,7,2,2,0,2,4,0,48,0,5,0,5,0,25,0,1,,2
1,0,0,0,1,1,3,2,2,0,2,4,0,52,0,2,1,2,2,17,0,35,,0
1,0,0,0,0,0,4,2,2,0,2,4,0,30,0,4,1,3,1,19,0,1,,2
1,0,0,0,0,0,3,2,2,0,2,4,0,33,0,3,1,3,0,16,0,1,,0
1,1,1,0,1,1,6,2,2,0,2,4,1,40,0,9,0,9,0,17,0,1,,2
1,1,0,0,1,1,2,2,2,0,2,4,0,80,0,0,0,0,0,20,0,13,,0
1,0,1,1,1,0,6,3,2,0,0,1,0,43,0,6,0,4,3,16,0,33,,4
1,1,0,1,0,0,4,3,2,0,0,1,1,33,0,4,0,4,0,17,0,33,,0
1,0,0,1,1,0,5,3,2,0,0,1,1,46,0,10,0,9,0,14,0,33,,0
1,1,1,1,0,1,6,3,2,0,0,1,1,47,0,9,0,7,0,15,0,33,,0
1,0,0,0,0,0,4,3,2,0,2,1,0,65,0,1,0,0,0,22,0,22.63274596,,0
1,1,0,1,1,1,3,3,2,1,0,1,0,30,0,3,0,3,0,13,0,33,,0
1,0,0,0,0,1,3,2,2,0,2,4,0,35,0,4,0,4,0,15,0,1,,0
1,0,0,0,0,0,4,2,2,0,2,4,1,35,0,9,0,7,0,15,0,1,,0
1,0,0,0,0,0,1,2,2,0,2,4,0,57,0,1,0,1,1,14,0,1,,2
1,0,1,0,0,1,3,4,2,0,1,1,0,38,0,3,0,3,0,18,0,30,,0
1,1,0,1,1,1,4,4,2,0,1,2,0,54,2,0,0,0,0,19,2,1,,0
